userId,displayName,userUrl,joinDate,joinTime,comp_tier,dataset_tier,notebook_tier,discuss_tier,final_tier,comp_currentRanking,dataset_currentRanking,notebook_currentRanking,discuss_currentRanking,comp_points,dataset_points,notebook_points,discuss_points,comp_GoldMedals,comp_SilverMedals,comp_BronzeMedals,dataset_GoldMedals,dataset_SilverMedals,dataset_BronzeMedals,notebook_GoldMedals,notebook_SilverMedals,notebook_BronzeMedals,discuss_GoldMedals,discuss_SilverMedals,discuss_BronzeMedals
2967043,Ray Melius,/xabonum,20-03-2019,07:24.3,3,Unranked,Unranked,Unranked,3,88,Unranked,Unranked,Unranked,42379,Unranked,Unranked,Unranked,0,7,13,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
2909490,Carno Zhao,/carnozhao,07-03-2019,43:51.7,2,Unranked,Unranked,3,2,89,Unranked,Unranked,213,42378,Unranked,Unranked,330,2,2,0,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,7,2,46
1348567,Ulrich G.,/ulrich07,20-10-2017,03:53.9,2,3,2,3,2,90,722,252,184,42320,20,309,357,1,8,15,0,0,5,4,10,9,17,15,141
647078,Nat Bel ML Fun,/natbel4ml,22-06-2016,26:41.8,3,Unranked,Unranked,Unranked,3,91,Unranked,Unranked,Unranked,42061,Unranked,Unranked,Unranked,0,12,21,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1670024,fam_taro,/yukkyo,26-02-2018,25:55.1,2,Unranked,Unranked,Unranked,2,92,Unranked,Unranked,Unranked,42038,Unranked,Unranked,Unranked,4,4,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
2911977,LeonShangguan,/leonshangguan,08-03-2019,41:18.6,2,Unranked,3,3,2,93,Unranked,2792,526,40600,Unranked,26,142,2,8,5,Unranked,Unranked,Unranked,0,0,7,8,8,98
887797,Marek Nurzynski,/marek3000,28-01-2017,27:30.0,3,Unranked,Unranked,Unranked,3,94,Unranked,Unranked,Unranked,40519,Unranked,Unranked,Unranked,0,5,22,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1343910,Davide Stenner,/stenford23,18-10-2017,09:27.6,2,Unranked,Unranked,Unranked,2,95,Unranked,Unranked,Unranked,40379,Unranked,Unranked,Unranked,1,2,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
3156182,Harijs Ceriņš,/harijscerins,29-04-2019,39:57.9,3,Unranked,Unranked,Unranked,3,96,Unranked,Unranked,Unranked,40361,Unranked,Unranked,Unranked,0,6,18,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
260287,Mohsin hasan,/tezdhar,19-11-2014,54:25.0,2,Unranked,3,3,2,97,Unranked,2910,1076,40355,Unranked,23,66,4,16,9,Unranked,Unranked,Unranked,2,1,6,7,17,74
4900136,Jose Antonio Alatorre,/joseantonioalatorre,17-04-2020,50:53.4,3,Unranked,Unranked,Unranked,3,98,Unranked,Unranked,Unranked,40197,Unranked,Unranked,Unranked,1,1,0,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
